No;Dam;Area;CN;Length;Slope;Coord_X;Coord_Y
1;Abusur;1.55;70.44;1.89;0.04;127.17;-8.07
2;Bajul Mati;87.31;65.17;25.36;0.15;114.36;-7.91
3;Banda;5.55;61.56;6.69;0.28;118.06;-8.71
4;Banyukuwung;10.37;78.99;6.82;0.04;111.32;-6.78
5;Batu Bokah;3.94;64.82;4.96;0.22;116.21;-8.85
6;Batu Bulan;131.96;64.28;28.16;0.20;117.47;-8.61
7;Batu Nampar;44.21;74.72;28.50;0.07;116.40;-8.82
8;Batu Tegi;424.53;70.73;51.91;0.19;104.78;-5.25
9;Batu Tulis;14.10;79.48;23.43;0.10;116.22;-8.69
10;Batujai;143.26;80.05;28.42;0.08;116.26;-8.74
11;Benel;19.60;67.98;9.19;0.40;114.60;-8.29
12;Bening;89.27;76.62;9.19;0.40;111.80;-7.55
13;Benkoko;0.53;63.09;0.69;0.12;124.74;-9.39
14;Beringinsila;61.55;64.00;32.58;0.37;117.13;-8.46
15;Beriwit;6.32;65.66;2.97;0.03;117.67;2.15
16;Bili-Bili;382.65;65.84;50.75;0.25;119.59;-5.28
17;Binalatung;7.41;74.76;4.07;0.08;117.62;3.34
18;Bintangbano;212.99;63.85;32.58;0.37;116.99;-8.71
19;Blimbing;9.75;79.44;8.96;0.13;111.08;-7.47
20;Botok;35.45;73.67;22.34;0.22;111.04;-7.53
21;Brambang;1.51;72.51;2.25;0.03;111.03;-7.49
22;Brangkolong;5.49;55.34;5.29;0.34;117.71;-8.72
23;Bringe;2.73;77.98;8.36;0.08;116.42;-8.72
24;Butak;0.89;79.03;1.54;0.03;111.12;-7.18
25;Cacaban;60.59;80.05;13.58;0.11;109.19;-7.01
26;Cengklik;9.33;78.64;6.79;0.03;110.73;-7.52
27;Ciawi;88.23;74.57;19.85;0.23;106.88;-6.66
28;Ciburuy;2.57;74.10;2.90;0.12;107.47;-6.83
29;Cipancuh;53.64;78.55;17.47;0.01;107.96;-6.49
30;Cirata;1822.49;73.00;93.78;0.16;107.37;-6.70
31;Danau Tua;8.39;65.33;5.55;0.09;122.92;-10.85
32;Darma;19.43;74.15;9.12;0.10;108.41;-7.00
33;Dawuhan;28.24;74.60;17.39;0.10;111.63;-7.60
34;Delingan;12.16;79.33;11.19;0.07;110.99;-7.59
35;Djatibarang;55.06;74.87;20.57;0.14;110.35;-7.04
36;Duriangkang;75.46;87.69;18.94;0.05;104.10;1.04
37;Gapit;42.30;63.70;16.12;0.18;117.94;-8.79
38;Gebyar;4.96;78.38;5.73;0.16;111.13;-7.50
39;Gegurik;1.50;69.95;4.48;0.11;116.35;-8.26
40;Gembong Pemali;15.61;81.13;9.37;0.14;110.96;-6.70
41;Gembong Bengsol;4.55;79.74;3.81;0.03;111.00;-7.47
42;Gintung;2.15;81.52;2.45;0.02;106.76;-6.30
43;Gn Paok;0.53;74.57;3.24;0.14;116.39;-8.55
44;Gn Rowo;1.16;77.20;2.90;0.14;110.97;-6.65
45;Gondang;68.65;72.91;12.23;0.04;112.27;-7.20
46;Gondang 2;19.54;72.48;9.87;0.21;111.08;-7.57
47;Gonggang;12.94;73.04;10.35;0.40;111.25;-7.73
48;Gongseng;75.13;72.29;14.94;0.10;111.90;-7.36
49;Grawan;10.84;79.70;6.67;0.04;111.29;-6.78
50;Greneng;4.33;79.97;3.88;0.08;111.35;-6.91
51;Grojokan;0.82;78.01;1.21;0.05;112.16;-7.45
52;Grokgak;18.99;67.44;6.36;0.34;114.78;-8.21
53;Haekrit;32.53;69.47;13.80;0.11;124.92;-9.13
54;Haliwen;2.35;68.60;2.70;0.10;124.94;-9.09
55;Inen Ratu;3.14;78.13;8.36;0.08;116.43;-8.72
56;Jago;5.51;66.39;13.80;0.20;116.38;-8.56
57;Jambu;51.82;62.72;14.42;0.30;118.47;-8.64
58;Jangkih Jawi;10.00;66.02;7.40;0.16;116.19;-8.83
59;Jatigede;253.57;70.84;30.69;0.18;108.10;-6.86
60;Jatiluhur;470.28;84.10;58.92;0.14;107.39;-6.52
61;Jelantik;5.24;75.67;23.50;0.10;116.22;-8.66
62;Jerowaru;10.66;80.25;7.48;0.07;116.49;-8.79
63;Jombor;7.76;79.47;3.24;0.05;110.62;-7.76
64;Jurang Dao;5.75;77.99;3.98;0.09;116.34;-8.60
65;Kali Ujung;4.27;79.49;6.53;0.06;116.46;-8.72
66;Kalola;120.94;70.03;23.02;0.06;120.08;-3.88
67;Kapalengga;14.86;63.68;8.64;0.08;122.99;-10.80
68;Karalloe;155.68;71.82;35.55;0.51;119.80;-5.51
69;Karinga;14.01;72.91;9.00;0.06;120.80;-10.06
70;Kaswangi;3.58;62.81;5.28;0.28;118.07;-8.73
71;Kebar II;0.72;79.48;17.34;0.41;116.57;-8.52
72;Kedung Bendo;5.08;77.37;3.32;0.05;111.54;-7.39
73;Kedung Brubus;31.19;73.20;15.41;0.12;111.70;-7.45
74;Kedung Ombo;591.02;79.33;65.57;0.07;110.84;-7.26
75;Kedung Sengon;4.46;69.72;5.16;0.07;111.98;-7.51
76;Kedung Uling;3.59;78.71;3.42;0.09;110.84;-7.94
77;Kembangan;9.85;77.45;6.44;0.05;111.07;-7.47
78;Kempo;6.85;68.36;10.72;0.35;118.25;-8.51
79;Kengkang;3.29;64.32;4.24;0.08;116.05;-8.81
80;Kesi;11.08;62.00;11.17;0.32;118.19;-8.52
81;Ketro;29.88;79.74;8.18;0.02;110.90;-7.38
82;Keuliling;35.40;75.24;15.01;0.14;95.48;5.37
83;Klampis;52.75;75.68;15.15;0.04;113.22;-7.11
84;Klego;46.77;75.09;18.29;0.06;110.70;-7.36
85;Kowo;8.40;68.60;7.88;0.42;118.99;-8.52
86;Krisak;8.15;77.24;5.30;0.17;110.90;-7.80
87;Kuangrundun;0.42;74.01;1.43;0.14;116.46;-8.90
88;Kuningan;31.40;74.45;11.35;0.24;108.71;-7.06
89;Kuwil Kawangkoan;113.36;70.64;39.99;0.13;124.93;1.44
90;Labangka;5.85;58.75;6.36;0.38;117.73;-8.84
91;Ladongi;345.44;63.01;35.90;0.18;121.89;-4.15
92;Lahor;156.40;73.84;32.80;0.10;112.45;-8.15
93;Laju;4.58;62.43;3.36;0.36;118.72;-8.69
94;Lalung;64.92;76.08;20.89;0.12;110.94;-7.61
95;Lamenta;6.56;57.98;6.63;0.28;117.99;-8.79
96;Lanangga;3.51;61.39;3.54;0.44;118.50;-8.61
97;Lasi II;8.61;64.13;7.80;0.43;118.44;-8.30
98;Lempake;192.97;63.92;25.37;0.07;117.19;-0.41
99;Lere;10.91;62.46;7.80;0.17;121.92;-10.57
100;Leubok;19.24;72.91;8.03;0.15;95.48;5.51
101;Lingkok Lamun;7.32;79.50;4.07;0.06;116.46;-8.74
102;Livuhahani;0.26;74.45;0.78;0.15;122.95;-10.83
103;Lodan;9.96;74.88;5.44;0.09;111.61;-6.79
104;Logung;46.40;79.30;16.47;0.17;110.92;-6.76
105;Lokojange;9.51;73.98;7.39;0.17;119.63;-9.65
106;Malahayu;62.03;69.34;16.46;0.17;108.82;-7.03
107;Mamak;109.04;65.88;26.09;0.34;117.58;-8.69
108;Manggar;41.67;73.40;11.45;0.04;116.92;-1.16
109;Mantar;1.03;67.52;1.65;0.48;116.80;-8.61
110;Manubulu;3.38;72.23;5.05;0.10;123.10;-10.71
111;Mapasan;2.38;60.69;2.51;0.31;116.15;-8.74
112;Matasio;2.05;69.57;2.33;0.06;123.31;-10.63
113;Mengkoang;2.06;55.84;2.99;0.27;117.63;-8.64
114;Merancang;21.75;69.00;10.41;0.04;117.67;2.22
115;Mila;16.44;65.78;7.49;0.27;118.40;-8.52
116;Muer;1.80;62.45;6.15;0.29;117.73;-8.75
117;Muka Kuning;9.73;62.54;5.72;0.09;104.01;1.06
118;Mulur;63.26;77.76;40.86;0.17;110.87;-7.70
119;Napungete;45.66;71.56;13.55;0.29;122.59;-8.55
120;Nawangan;1.66;77.36;2.16;0.12;110.90;-8.04
121;Ncera;8.70;65.31;4.59;0.38;118.76;-8.64
122;Ngancar;6.65;72.14;3.84;0.23;110.98;-7.99
123;Ngepeh;6.04;71.29;4.74;0.22;111.62;-8.07
124;Nglambangan;67.57;71.96;24.25;0.11;111.73;-7.30
125;Nglangon;3.54;78.90;2.51;0.05;111.14;-7.17
126;Nipah;74.41;78.46;12.70;0.06;113.19;-6.94
127;Notopuro;7.75;75.55;5.75;0.05;111.69;-7.48
128;Oel Tua;1.16;67.62;1.90;0.11;123.67;-10.22
129;Oi Toi;3.03;73.12;3.43;0.42;118.95;-8.35
130;Olat Rawa;10.19;74.48;5.97;0.25;117.56;-8.54
131;Oro-Oro Ombo;0.40;77.75;0.90;0.12;111.87;-7.70
132;Pacal;66.00;71.88;16.82;0.11;111.87;-7.36
133;Padang Panjang;2.47;64.71;2.57;0.23;124.90;-8.24
134;Palasari;42.26;65.39;15.82;0.25;114.55;-8.25
135;Pancor;2.18;67.38;2.12;0.19;116.23;-8.89
136;Pandanduri;68.41;73.06;45.66;0.13;116.44;-8.68
137;Panohan;30.52;80.23;16.04;0.13;111.43;-6.82
138;Parangjoho;24.65;75.48;10.42;0.14;110.82;-7.95
139;Pare;33.36;75.71;25.63;0.09;116.39;-8.80
140;Paselloreng;162.12;70.88;36.87;0.12;120.18;-3.88
141;Paya Seunara;6.96;70.44;4.35;0.24;95.32;5.84
142;Pejanggik;2.90;78.01;18.31;0.06;116.33;-8.76
143;Pelaperado;93.94;60.09;22.00;0.28;118.61;-8.72
144;Pemasar;12.74;68.81;6.52;0.44;117.65;-8.68
145;Peneda Gandok;5.67;77.34;5.76;0.09;116.54;-8.69
146;Pengga;79.95;80.16;21.32;0.16;116.19;-8.76
147;Penjalin;4.47;75.90;3.77;0.11;109.05;-7.33
148;Penyaring;4.63;78.16;4.98;0.08;117.45;-8.51
149;Perado kanca;11.89;56.01;5.87;0.25;118.54;-8.72
150;Pernek;4.34;65.71;3.78;0.39;117.42;-8.58
151;Pidekso;57.74;73.47;13.86;0.21;111.00;-8.04
152;Plumbon;3.82;75.18;4.19;0.24;110.83;-7.97
153;Pondok;32.32;79.81;11.06;0.05;111.56;-7.41
154;Ponre-Ponre;76.73;75.53;19.42;0.18;119.99;-4.86
155;Prijetan;24.23;70.29;8.44;0.05;112.21;-7.22
156;Propok Batu Tinja;1.22;77.64;7.98;0.11;116.60;-8.54
157;Rajui;1.56;76.00;16.87;0.16;95.81;5.41
158;Rakawatu;0.50;67.52;0.57;0.13;119.90;-9.62
159;Raknamo;36.82;68.85;14.90;0.16;123.93;-10.12
160;Ranca Beureum;3.50;79.09;3.01;0.02;108.21;-6.62
161;Randugunting;17.64;79.31;7.98;0.10;111.26;-6.87
162;Roi Roka;19.61;71.86;9.51;0.36;118.72;-8.58
163;Rotiklot;12.60;66.97;7.99;0.21;124.83;-9.07
164;Sadawarna;343.25;70.35;46.42;0.21;107.85;-6.59
165;Saguling;2257.85;74.11;90.76;0.15;107.36;-6.91
166;Salomeko;12.60;74.82;6.52;0.12;120.23;-4.96
167;Samboja;13.35;70.99;5.81;0.06;117.05;-1.05
168;Sampean Baru;732.17;74.78;58.73;0.13;113.94;-7.83
169;Saneo;1.94;74.02;4.25;0.10;118.43;-8.45
170;Sanggeh;0.98;77.81;1.46;0.04;110.92;-7.15
171;Sanggupasante;7.03;69.15;7.32;0.03;118.29;-8.49
172;Sangiran;20.57;76.48;8.45;0.07;111.61;-7.42
173;Saradan;3.75;77.92;2.30;0.03;111.75;-7.55
174;Sedong;44.35;72.86;13.29;0.10;108.58;-6.88
175;Sei Gong;14.69;65.41;6.64;0.09;104.22;0.73
176;Sei Harapan;6.28;65.73;8.52;0.06;103.94;1.09
177;Sei Ladi;10.46;69.06;6.34;0.09;104.00;1.11
178;Sei Nongsa;2.05;81.92;2.37;0.07;104.55;0.91
179;Sei Peulai;3.83;77.52;3.93;0.05;104.55;0.91
180;Sejari 1;6.60;62.82;8.18;0.33;117.76;-8.78
181;Selante;9.65;62.79;5.79;0.39;117.76;-8.82
182;Selorejo;236.96;67.97;31.09;0.25;112.36;-7.87
183;Semantok;16.82;75.58;9.46;0.09;111.89;-7.49
184;Sempor;43.31;73.76;11.92;0.21;109.49;-7.57
185;Senang;8.53;78.83;4.71;0.09;116.60;-8.56
186;Sengguruh;1612.98;74.63;72.74;0.14;112.55;-8.18
187;Sepayung Dalam;8.25;69.21;5.33;0.13;117.86;-8.77
188;Sepit;7.81;72.04;4.27;0.17;116.26;-8.83
189;Serading;11.06;69.46;7.16;0.24;117.68;-8.61
190;Sermo;21.22;71.19;7.70;0.22;110.12;-7.83
191;Sianjo-anjo;6.77;76.85;7.34;0.05;97.98;2.42
192;Simo;1.97;80.03;3.25;0.07;111.10;-7.20
193;Sindang Heula;73.54;69.71;16.48;0.11;106.11;-6.18
194;Situ Bolang;5.23;78.51;4.87;0.02;108.20;-6.54
195;Situ Kamojing;24.33;83.18;15.11;0.03;107.45;-6.43
196;Situ Lembang;6.13;67.45;4.51;0.19;107.58;-6.74
197;Situ Patok;8.64;79.97;6.55;0.07;108.57;-6.78
198;Soncolopi;2.90;61.15;4.16;0.49;118.47;-8.73
199;Song Putri;1.84;77.32;2.77;0.20;110.83;-7.99
200;Sukamahi;4.29;70.72;6.82;0.08;106.88;-6.67
201;Sumber kepuh;6.41;71.43;4.38;0.05;112.06;-7.50
202;Sumi;86.48;69.95;23.80;0.38;118.96;-8.64
203;Surabaya;29.05;80.25;28.42;0.01;116.29;-8.71
204;Sutami;2001.78;74.94;86.95;0.14;112.45;-8.16
205;Talotangga;4.15;58.00;4.19;0.43;118.61;-8.76
206;Tanju;18.75;68.22;6.52;0.24;118.35;-8.47
207;Tapin;200.11;71.66;32.19;0.21;115.34;-2.94
208;Telaga Lebur;14.14;65.02;5.29;0.32;116.04;-8.79
209;Telaga Pasir;0.86;76.30;0.97;0.28;111.22;-7.68
210;Telaga Tunjung;96.64;73.14;31.95;0.24;115.10;-8.47
211;Telogo Ngebel;3.94;78.37;3.68;0.21;111.63;-7.81
212;Tempuran;4.46;77.46;3.79;0.08;111.46;-6.91
213;Teritip;10.71;71.34;5.23;0.06;116.98;-1.15
214;Tibu Kuning;9.52;62.12;5.29;0.32;115.91;-8.78
215;Tilong;37.21;71.85;15.38;0.18;123.74;-10.17
216;Titab;82.80;77.76;27.11;0.29;114.94;-8.24
217;Tiu Kulit;50.69;62.21;18.91;0.35;117.68;-8.69
218;Tonda Selatan;17.07;65.02;11.50;0.36;118.36;-8.58
219;Tugu;46.55;73.45;14.22;0.26;111.59;-8.04
220;Tukul;55.40;75.16;16.36;0.31;111.14;-8.06
221;Tundak;14.34;80.41;6.53;0.06;116.45;-8.76
222;Wadas Lintang;193.50;73.62;32.18;0.17;109.78;-7.61
223;Waerita;11.34;67.19;11.25;0.54;122.34;-8.63
224;Waworada;10.01;59.99;6.56;0.36;118.80;-8.68
225;Way Jepara;101.33;77.19;22.20;0.03;105.67;-5.21
226;Way Rarem;295.27;77.96;47.76;0.18;104.79;-4.93
227;Way Sekampung;295.56;76.37;52.54;0.13;104.92;-5.33
228;Wera I;2.46;68.44;3.50;0.33;120.71;-8.36
229;Wlingi;681.97;75.95;61.95;0.12;112.25;-8.14
230;Wonogiri;1235.57;76.13;52.40;0.13;110.93;-7.84
231;Wonorejo;44.45;65.80;12.93;0.23;111.80;-8.02
232;Woro;21.26;60.09;7.72;0.43;118.54;-8.60
